Classe Fundiaria,Area em Km2,Produto
Áreas Militares,10.6,TERRAMZ
APA Baixo Rio Branco,44,TERRAMZ
APA Xeruini,70.4,TERRAMZ
UCs Federais,120.6,TERRAMZ
Terras Indigenas,166,TERRAMZ
Outras Areas,314.8,TERRAMZ
Assentamentos,651.7,TERRAMZ
Floresta Publicas,1074.1,TERRAMZ
Áreas Militares,5.4,MapBiomas
APA Baixo Rio Branco,4.8,MapBiomas
APA Xeruini,7,MapBiomas
UCs Federais,44.6,MapBiomas
Terras Indigenas,31,MapBiomas
Outras Areas,148,MapBiomas
Assentamentos,160.6,MapBiomas
Floresta Publicas,294.3,MapBiomas
Áreas Militares,0,DETER-B
APA Baixo Rio Branco,16.5,DETER-B
APA Xeruini,53.7,DETER-B
UCs Federais,30.6,DETER-B
Terras Indigenas,151.5,DETER-B
Outras Areas,812.9,DETER-B
Assentamentos,341.2,DETER-B
Floresta Publicas,15.3,DETER-B
Areas Militares,3.7,FireCCI
APA Baixo Rio Branco,4.7,FireCCI
APA Xeruini,35.5,FireCCI
UCs Federais,40.1,FireCCI
Terras Indigenas,59.9,FireCCI
Outras Areas,291.7,FireCCI
Assentamentos,364.7,FireCCI
Floresta Publicas,553.2,FireCCI
